icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
781642,CCA949  ,China,1560302900,1560302900,29.1973,54.7487,11582.4,false,255.18,239.87,0,,,11963.4,6244,false
780f4b,,China,,1560302854,,,7246.62,false,237.76,82.29,7.48,,,,,false
781649,AMU806  ,China,1560302899,1560302899,118.5317,22.5795,9448.8,false,243.6,58.56,0,,,10134.6,3506,false
a05ad4,UCA4989 ,United States,1560302900,1560302900,-74.6842,40.3542,2049.78,false,140.36,62.5,-5.2,,,2110.74,6665,false
899149,MDA370  ,Taiwan,1560302882,1560302888,121.1673,24.9278,1783.08,false,106.69,47.54,-3.25,,,1836.42,2060,false
780f62,CCA1861 ,China,1560302899,1560302900,113.2301,22.1332,10393.68,false,234.95,246.24,-0.33,,,11125.2,5664,false
0d0771,AMX696  ,Mexico,,1560302899,,,11582.4,false,203.57,338.04,0,,,11574.78,2673,false
899145,UIA8755 ,Taiwan,1560302900,1560302900,121.3533,25.2828,2476.5,false,125.85,304.34,0,,,2560.32,4327,false
a6e89f,AAL2022 ,United States,1560302899,1560302899,-84.8104,31.2379,9448.8,false,236.69,168.59,0,,,9966.96,2005,false
899142,UIA8912 ,Taiwan,1560302874,1560302887,120.3227,22.5779,99.06,false,55.57,91.06,-2.6,,,114.3,2106,false
899141,UIA8752 ,Taiwan,1560302900,1560302900,121.3239,25.0401,1150.62,false,106.35,24.58,-4.23,,,1158.24,4677,false
a23a02,UAL1744 ,United States,1560302900,1560302900,-118.6008,33.8878,1844.04,false,139.26,251.03,12.68,,,1912.62,1037,false
7c070d,,Australia,1560302736,1560302736,115.8955,-32.0895,-38.1,false,23.33,228.58,-1.63,,,-45.72,1200,false
a6c237,N5344K  ,United States,1560302899,1560302899,-122.2092,47.533,518.16,false,36.79,20.46,3.9,,,510.54,,false
a875da,UAL931  ,United States,1560302791,1560302859,-68.4383,46.5818,10675.62,false,268.32,72.71,0,,,10911.84,1303,false
89913d,UIA8972 ,Taiwan,1560302835,1560302879,121.5407,25.07,45.72,true,50.44,91.75,-1.95,,,,1526,false
8403c6,JA011G  ,Japan,1560302886,1560302896,134.1526,34.3858,868.68,false,89.4,209.66,0.33,,,883.92,5710,false
a9dea0,N735LH  ,United States,1560302900,1560302900,-122.064,47.4223,998.22,false,62.12,153.43,-0.98,,,1059.18,1200,false
a85bbe,CPZ5798 ,United States,1560302899,1560302899,-117.2778,37.2563,10157.46,false,233.56,328.24,5.2,,,10142.22,7315,false
ab485e,AAL2375 ,United States,1560302899,1560302900,-104.2545,36.5447,9753.6,false,208.49,304.75,0,,,10203.18,0641,false
a7db1a,N605PC  ,United States,1560302843,1560302843,-114.8632,47.2584,7315.2,false,142.89,195.24,0.33,,,7688.58,,false
aa6f80,SWA282  ,United States,1560302899,1560302899,-85.8172,41.5204,6492.24,false,192.47,271.53,-7.8,,,6652.26,7473,false
7503fa,,Malaysia,1560302882,1560302899,112.0798,4.8944,11277.6,false,224.09,75.64,0,,,12062.46,2171,false
8990a8,CAL711  ,Taiwan,1560302899,1560302899,120.8439,14.6557,2552.7,false,134.02,59.3,-2.6,,,2689.86,6241,false
8990a2,,Taiwan,,1560302860,,,10058.4,false,268.95,73.78,0,,,,,false
780de3,CES2793 ,China,1560302899,1560302899,133.2844,35.404,8465.82,false,240.9,124.91,-8.45,,,8709.66,4376,false
ab8315,N8406T  ,United States,1560302899,1560302899,-149.9328,61.6697,1127.76,false,78.94,159.79,0.65,,,1089.66,,false
a61d3e,SWA2590 ,United States,1560302883,1560302883,-87.0514,35.9275,11887.2,false,265.77,54.77,0,,,12336.78,5734,false
aba9e7,SWA2364 ,United States,1560302900,1560302900,-111.8623,33.4409,1028.7,false,98.09,265.19,-4.88,,,1021.08,5774,false
a66aa0,UAL1871 ,United States,1560302899,1560302899,-88.8833,41.1669,11582.4,false,200.64,269.41,0,,,11742.42,2374,false
a4943f,UAL401  ,United States,1560302900,1560302900,-87.0663,39.0585,10668,false,272.08,99.91,-0.33,,,10965.18,4446,false
a4943e,UAL246  ,United States,1560302899,1560302899,-83.9108,29.9054,11277.6,false,236.56,170.87,0,,,11879.58,0501,false
a4dd51,UAL2081 ,United States,1560302899,1560302899,-84.3214,27.8623,10972.8,false,233.05,285.75,-0.33,,,11597.64,4526,false
c04d0a,,Canada,1560302890,1560302892,-79.6327,43.6957,144.78,false,60.78,226.71,-3.25,,,167.64,6502,false
8990b3,EVA108  ,Taiwan,1560302890,1560302900,136.8884,33.4841,10652.76,false,275.8,70.38,0,,,10896.6,2651,false
